"No.","Time","Source","Destination","Protocol","Length","Info"
"14131","661.741245628","192.168.64.1","192.168.64.11","DNS","172","Standard query response 0xf85f AAAA firefox.dns.nextdns.io CNAME steering.nextdns.io AAAA 2a00:11c0:1e:4::3 AAAA 2a0d:5642:113:242:5054:ff:fe48:675 OPT"
"14135","661.760654787","192.168.64.1","192.168.64.11","DNS","148","Standard query response 0x1f5f A firefox.dns.nextdns.io CNAME steering.nextdns.io A 194.156.155.239 A 217.146.1.31 OPT"
"14139","661.763600436","217.146.1.31","192.168.64.11","DoH","169","Standard query response 0x0000 A safebrowsing.googleapis.com A 172.217.168.170 OPT"
"14142","661.763807355","217.146.1.31","192.168.64.11","DoH","181","Standard query response 0x0000 AAAA safebrowsing.googleapis.com AAAA 2a00:1450:4003:80a::200a OPT"
"14143","661.763807396","217.146.1.31","192.168.64.11","DoH","169","Standard query response 0x0000 A safebrowsing.googleapis.com A 172.217.168.170 OPT"
"14231","667.421462499","192.168.64.11","192.168.64.1","DNS","103","Standard query 0x1e0d A mobile.events.data.microsoft.com OPT"
"14232","667.421625125","192.168.64.11","192.168.64.1","DNS","103","Standard query 0x7756 HTTPS mobile.events.data.microsoft.com OPT"
"14233","667.436993584","192.168.64.1","192.168.64.11","DNS","223","Standard query response 0x1e0d A mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdwus09.westus.cloudapp.azure.com A 20.189.173.10 OPT"
"14234","667.437104002","192.168.64.1","192.168.64.11","DNS","267","Standard query response 0x7756 HTTPS mobile.events.data.microsoft.com CNAME mobile.events.data.trafficmanager.net CNAME onedscolprdwus09.westus.cloudapp.azure.com SOA ns1-02.azure-dns.com OPT"
"14235","667.437527380","192.168.64.11","192.168.64.1","DNS","113","Standard query 0xe911 HTTPS onedscolprdwus09.westus.cloudapp.azure.com OPT"
"14236","667.438253803","192.168.64.1","192.168.64.11","DNS","183","Standard query response 0xe911 HTTPS onedscolprdwus09.westus.cloudapp.azure.com SOA ns1-02.azure-dns.com OPT"
"14398","685.835841326","192.168.64.11","192.168.64.1","DNS","113","Standard query 0x9f9d A onedscolprdwus09.westus.cloudapp.azure.com OPT"
"14399","685.835988327","192.168.64.11","192.168.64.1","DNS","113","Standard query 0x968c AAAA onedscolprdwus09.westus.cloudapp.azure.com OPT"
"14400","685.847373587","192.168.64.1","192.168.64.11","DNS","129","Standard query response 0x9f9d A onedscolprdwus09.westus.cloudapp.azure.com A 20.189.173.10 OPT"
"14401","685.847509838","192.168.64.1","192.168.64.11","DNS","183","Standard query response 0x968c AAAA onedscolprdwus09.westus.cloudapp.azure.com SOA ns1-02.azure-dns.com OPT"
"14471","693.279220316","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA incoming.telemetry.mozilla.org OPT"
"14473","693.279486152","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 A incoming.telemetry.mozilla.org OPT"
"14475","693.280729079","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 HTTPS incoming.telemetry.mozilla.org OPT"
"14481","693.304944653","217.146.1.31","192.168.64.11","DoH","294","Standard query response 0x0000 AAAA incoming.telemetry.mozilla.org CNAME telemetry-incoming.r53-2.services.mozilla.com SOA ns-1507.awsdns-60.org OPT"
"14483","693.304944694","217.146.1.31","192.168.64.11","DoH","231","Standard query response 0x0000 A incoming.telemetry.mozilla.org CNAME telemetry-incoming.r53-2.services.mozilla.com A 34.120.208.123 OPT"
"14490","693.305006445","217.146.1.31","192.168.64.11","DoH","294","Standard query response 0x0000 HTTPS incoming.telemetry.mozilla.org CNAME telemetry-incoming.r53-2.services.mozilla.com SOA ns-1507.awsdns-60.org OPT"
"14493","693.319973860","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA www.amazon.es OPT"
"14495","693.320431988","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 A www.amazon.es OPT"
"14497","693.320686282","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 HTTPS www.amazon.es OPT"
"14499","693.320936493","192.168.64.11","217.146.1.31","DoH","225","Standard query 0x0000 AAAA temuaffiliateprogram.pxf.io OPT"
"14500","693.321178703","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 A temuaffiliateprogram.pxf.io OPT"
"14501","693.321391788","192.168.64.11","217.146.1.31","HTTP2","323","HEADERS[601]: POST /"
"14502","693.321837167","192.168.64.11","217.146.1.31","DoH","1265","Standard query 0x0000 HTTPS web.mat.upc.edu OPT"
"14503","693.322145794","192.168.64.11","217.146.1.31","DoH","274","Standard query 0x0000 AAAA consent.youtube.com OPT"
"14504","693.322239628","192.168.64.11","217.146.1.31","HTTP2","323","HEADERS[617]: POST /"
"14506","693.342774880","192.168.64.11","217.146.1.31","DoH","849","Standard query 0x0000 HTTPS about.google OPT"
"14510","693.345827197","217.146.1.31","192.168.64.11","DoH","474","Standard query response 0x0000 AAAA www.amazon.es CNAME tp.1fe6d5bb2-frontier.amazon.es CNAME d12yd29zdqmfwy.cloudfront.net AAAA 2600:9000:24dd:b800:15:da86:494:7521 AAAA 2600:9000:24dd:1600:15:da86:494:7521 AAAA 2600:9000:24dd:8c00:15:da86:494:7521 AAAA 2600:9000:24dd:8200:15:da86:494:7521 AAAA 2600:9000:24dd:9400:15:da86:494:7521 AAAA 2600:9000:24dd:a400:15:da86:494:7521 AAAA 2600:9000:24dd:7400:15:da86:494:7521 AAAA 2600:9000:24dd:5600:15:da86:494:7521 OPT"
"14512","693.345827239","217.146.1.31","192.168.64.11","DoH","399","Standard query response 0x0000 AAAA temuaffiliateprogram.pxf.io SOA ns-904.awsdns-49.net OPT"
"14513","693.345827281","217.146.1.31","192.168.64.11","DoH","305","Standard query response 0x0000 HTTPS www.amazon.es CNAME tp.1fe6d5bb2-frontier.amazon.es CNAME d12yd29zdqmfwy.cloudfront.net SOA ns-1926.awsdns-48.co.uk OPT"
"14515","693.345920406","217.146.1.31","192.168.64.11","DoH","169","Standard query response 0x0000 A temuaffiliateprogram.pxf.io A 35.201.76.231 OPT"
"14517","693.345920490","217.146.1.31","192.168.64.11","DoH","287","Standard query response 0x0000 AAAA www.youtube.com CNAME youtube-ui.l.google.com AAAA 2a00:1450:4003:807::200e AAAA 2a00:1450:4003:811::200e AAAA 2a00:1450:4003:800::200e AAAA 2a00:1450:4003:806::200e OPT"
"14519","693.345920531","217.146.1.31","192.168.64.11","DoH","238","Standard query response 0x0000 HTTPS web.mat.upc.edu CNAME mat-web.upc.edu SOA ns.upc.edu OPT"
"14522","693.367796128","217.146.1.31","192.168.64.11","DoH","1609","Standard query response 0x0000 HTTPS about.google SOA ns1.googledomains.com OPT"
"14525","693.385186687","217.146.1.31","192.168.64.11","DoH","202","Standard query response 0x0000 HTTPS consent.youtube.com SOA ns1.google.com OPT"
